10/05/2019 12:04:46.540944 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..-QZ.`F.1..;.....J.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.549650 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..Q..!...[[.k.F.v....|
10/05/2019 12:04:46.549789 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..Q..!...[[.k.F.v....|
10/05/2019 12:04:46.549924 ./fileserver.exe:     Successfully read 21 bytes. Message="..Q..!...[[.k.F.v..."
10/05/2019 12:04:46.550124 ./fileserver.exe:     Responding with message="You said ..Q..!...[[.k.F.v.... Don't you know how to play ping pong?"
10/05/2019 12:04:46.550274 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..Q..!...[[.k.F.v.... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.550504 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..Q..!...[[.k.F.v.... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.552593 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |X.Bg...T.t..?wF.J..,.|
10/05/2019 12:04:46.552732 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |X.Bg...T.t..?wF.J..,.|
10/05/2019 12:04:46.552886 ./fileserver.exe:     Successfully read 21 bytes. Message="X.Bg...T.t..?wF.J..,"
10/05/2019 12:04:46.553050 ./fileserver.exe:     Responding with message="You said X.Bg...T.t..?wF.J..,. Don't you know how to play ping pong?"
10/05/2019 12:04:46.553194 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said X.Bg...T.t..?wF.J..,. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.553409 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said X.Bg...T.t..?wF.J..,. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.555999 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..z......]SSx.S.I._..|
10/05/2019 12:04:46.556137 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..z......]SSx.S.I._..|
10/05/2019 12:04:46.556273 ./fileserver.exe:     Successfully read 21 bytes. Message="..z......]SSx.S.I._."
10/05/2019 12:04:46.556520 ./fileserver.exe:     Responding with message="You said ..z......]SSx.S.I._.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.556689 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..z......]SSx.S.I._.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.556886 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..z......]SSx.S.I._.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.563726 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |h...7j........x......|
10/05/2019 12:04:46.563865 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |h...7j........x......|
10/05/2019 12:04:46.564001 ./fileserver.exe:     Successfully read 21 bytes. Message="h...7j........x....."
10/05/2019 12:04:46.564167 ./fileserver.exe:     Responding with message="You said h...7j........x...... Don't you know how to play ping pong?"
10/05/2019 12:04:46.564311 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said h...7j........x...... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.564540 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said h...7j........x...... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.568090 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..........T-.p.k/..#.|
10/05/2019 12:04:46.568227 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..........T-.p.k/..#.|
10/05/2019 12:04:46.568358 ./fileserver.exe:     Successfully read 21 bytes. Message="..........T-.p.k/..#"
10/05/2019 12:04:46.568554 ./fileserver.exe:     Responding with message="You said ..........T-.p.k/..#. Don't you know how to play ping pong?"
10/05/2019 12:04:46.568695 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..........T-.p.k/..#. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.568892 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..........T-.p.k/..#. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.570896 ./fileserver.exe:     C150DgmSocket::read: successful read with len=20 |.zk.|I..BoGAa1(=!...|
10/05/2019 12:04:46.571042 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 20 |.zk.|I..BoGAa1(=!...|
10/05/2019 12:04:46.571177 ./fileserver.exe:     Successfully read 20 bytes. Message=".zk.|I..BoGAa1(=!.."
10/05/2019 12:04:46.571342 ./fileserver.exe:     Responding with message="You said .zk.|I..BoGAa1(=!... Don't you know how to play ping pong?"
10/05/2019 12:04:46.571634 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=68 |You said .zk.|I..BoGAa1(=!... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.571855 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=68 |You said .zk.|I..BoGAa1(=!... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.573740 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..c|we7),\_.|*.TF....|
10/05/2019 12:04:46.573872 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..c|we7),\_.|*.TF....|
10/05/2019 12:04:46.574002 ./fileserver.exe:     Successfully read 21 bytes. Message="..c|we7),\_.|*.TF..."
10/05/2019 12:04:46.574160 ./fileserver.exe:     Responding with message="You said ..c|we7),\_.|*.TF.... Don't you know how to play ping pong?"
10/05/2019 12:04:46.574301 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..c|we7),\_.|*.TF.... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.574516 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..c|we7),\_.|*.TF.... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.576465 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |......dI.t*..JR..^^..|
10/05/2019 12:04:46.576602 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |......dI.t*..JR..^^..|
10/05/2019 12:04:46.576732 ./fileserver.exe:     Successfully read 21 bytes. Message="......dI.t*..JR..^^."
10/05/2019 12:04:46.576891 ./fileserver.exe:     Responding with message="You said ......dI.t*..JR..^^.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.577030 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ......dI.t*..JR..^^.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.577217 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ......dI.t*..JR..^^.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.588823 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.w..uj.Q)J...Wy......|
10/05/2019 12:04:46.588960 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.w..uj.Q)J...Wy......|
10/05/2019 12:04:46.589090 ./fileserver.exe:     Successfully read 21 bytes. Message=".w..uj.Q)J...Wy....."
10/05/2019 12:04:46.589256 ./fileserver.exe:     Responding with message="You said .w..uj.Q)J...Wy...... Don't you know how to play ping pong?"
10/05/2019 12:04:46.589448 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .w..uj.Q)J...Wy...... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.589643 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .w..uj.Q)J...Wy...... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.592580 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |I.n......x.'.....cM..|
10/05/2019 12:04:46.592718 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |I.n......x.'.....cM..|
10/05/2019 12:04:46.592995 ./fileserver.exe:     Successfully read 21 bytes. Message="I.n......x.'.....cM."
10/05/2019 12:04:46.593165 ./fileserver.exe:     Responding with message="You said I.n......x.'.....cM.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.593310 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said I.n......x.'.....cM.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.593541 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said I.n......x.'.....cM.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.595160 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.....X.B.l.V......pD.|
10/05/2019 12:04:46.595347 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.....X.B.l.V......pD.|
10/05/2019 12:04:46.595519 ./fileserver.exe:     Successfully read 21 bytes. Message=".....X.B.l.V......pD"
10/05/2019 12:04:46.595692 ./fileserver.exe:     Responding with message="You said .....X.B.l.V......pD. Don't you know how to play ping pong?"
